,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,439.6210000000003,6.041500000000006,1.0,5.0,8.602059991327963
1,CHEMBL316132,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,467.67500000000035,6.821700000000007,1.0,5.0,8.1249387366083
2,CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,active,463.5990000000004,5.929600000000006,2.0,6.0,8.508638306165727
3,CHEMBL85881,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,467.67500000000035,6.821700000000007,1.0,5.0,8.4089353929735
4,CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,461.6270000000004,6.0940000000000065,1.0,5.0,8.130768280269024
5,CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,448.5880000000004,5.619000000000006,1.0,6.0,6.309803919971486
6,CHEMBL267385,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,active,453.5820000000004,5.553300000000006,2.0,4.0,9.0
7,CHEMBL315761,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,437.5610000000004,5.817000000000006,1.0,6.0,7.455931955649724
8,CHEMBL281499,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,active,326.39500000000004,4.688600000000004,2.0,2.0,8.366531544420413
9,CHEMBL25228,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,active,354.36100000000005,3.969000000000001,2.0,4.0,7.040958607678906
10,CHEMBL432454,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,active,481.5480000000002,4.8337000000000065,2.0,6.0,6.764471553092451
11,CHEMBL24950,Oc1cccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)c1,active,326.39500000000004,4.6886000000000045,2.0,2.0,7.455931955649724
12,CHEMBL419110,CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,active,427.61000000000035,5.897400000000006,1.0,5.0,7.958607314841775
13,CHEMBL85090,Oc1ccc2c(c1)S[C@H](C1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,453.6480000000003,6.431600000000007,1.0,5.0,8.585026652029182
14,CHEMBL83060,Oc1ccc2c(c1)S[C@H](c1cccnc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,448.5880000000004,5.619000000000006,1.0,6.0,6.266000713461613
15,CHEMBL85650,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,active,427.61000000000035,5.897400000000006,1.0,5.0,8.522878745280337
16,CHEMBL313941,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,active,477.62600000000043,5.799600000000006,2.0,6.0,8.568636235841012
17,CHEMBL313825,CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,active,413.58300000000037,5.507300000000005,1.0,5.0,8.154901959985743
18,CHEMBL25580,O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12,active,354.36100000000005,3.969000000000002,2.0,4.0,6.436518914605589
19,CHEMBL83623,Oc1ccc2c(c1)S[C@H](c1cccs1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,453.6290000000004,6.285500000000006,1.0,6.0,8.05551732784983
